Unnamed: 0,Company,Brand,Appliance,SKU,ENERGY_VALUE,ENERGY_UNIT,ENERGY_TIER,BRAND_PRODUCT_COUNT,APPLIANCE_CATEGORY_COUNT,AVG_ENERGY_FOR_APPLIANCE,ENERGY_VS_APPLIANCE_AVG,HAS_ENERGY_DATA,IS_MULTI_SKU_APPLIANCE_LINE
0,Whirlpool Corporation,Indesit Company,Toaster,SKU-87218,425.0,W,low,55,1204,355.70175438596493,69.29824561403507,True,True
1,The Middleby Corporation,Marvel,Kettle,SKU-98116,475.0,W,low,54,1193,349.02286902286903,125.97713097713097,True,True
2,AB Electrolux / Investor AB,Zanker,Refrigerator,SKU-71525,,,,67,1145,353.9111111111111,,False,True
3,AB Electrolux / Investor AB,Olympic Group,Kettle,SKU--95743,,,,58,1193,349.02286902286903,,False,True
4,Meneghetti S.p.A,Fulgor Milano,Kettle,SKU-17844,,,,65,1193,349.02286902286903,,False,True
5,BSH Hausgeräte GmbH / Robert Bosch GmbH,Zelmer,Refrigerator,SKU-73517,250.0,W,low,61,1145,353.9111111111111,-103.9111111111111,True,True
6,Candy Group,Rosières,Washer,SKU-81114,120.0,W,low,68,1176,347.4403470715835,-227.44034707158352,True,True
7,Dayou Group,Daewoo,Refrigerator,SKU-75506,,,,67,1145,353.9111111111111,,False,True
8,"Indesit Company, Whirlpool Corporation",Hotpoint-Ariston,Freezer,SKU-49921,,,,75,1228,351.4947368421053,,False,True
9,Gorenje,Etna,Kettle,SKU-24661,,,,63,1193,349.02286902286903,,False,True
10,Candy Group,Zerowatt,Stove,SKU-2778,,,,58,1188,359.6288209606987,,False,True
11,AB Electrolux / Investor AB,Olympic Group,Toaster,SKU-66961,,,,58,1204,355.70175438596493,,False,True
12,"Indesit Company, Whirlpool Corporation",Hotpoint-Ariston,Stove,SKU-11814,300.0,W,low,75,1188,359.6288209606987,-59.628820960698704,True,True
13,Whirlpool Corporation,Indesit Company,Kettle,SKU-3762,425.0,W,low,55,1193,349.02286902286903,75.97713097713097,True,True
14,Arçelik A.Ş. / Koç Holding,Arçelik,Freezer,SKU-45429,,,,51,1228,351.4947368421053,,False,True
15,Gorenje,Mora,Toaster,SKU-95256,300.0,W,low,71,1204,355.70175438596493,-55.70175438596493,True,True
16,"Indesit Company, Whirlpool Corporation",Scholtès,Freezer,SKU-88625,,,,49,1228,351.4947368421053,,False,True
17,AGA Rangemaster Group Ltd. The Middleby Corporation,AGA / Rangemaster,Kettle,SKU-10252,,,,72,1193,349.02286902286903,,False,True
18,AB Electrolux / Investor AB,Mademsa,Freezer,SKU-56723,300.0,W,low,67,1228,351.4947368421053,-51.49473684210528,True,True
19,Arçelik A.Ş. / Koç Holdin,Beko,Freezer,SKU-4058,300.0,W,low,72,1228,351.4947368421053,-51.49473684210528,True,True
20,Whirlpool Corporation,Roper,Freezer,SKU-8434,,,,72,1228,351.4947368421053,,False,True
21,"Vestel Elektronik Sanayi Ve Ticaret AŞ, Zorlu Holding",Vestfrost,Toaster,SKU-33097,,,,62,1204,355.70175438596493,,False,True
22,Whirlpool Corporation,Gladiator GarageWorks,Kettle,SKU-46287,425.0,W,low,68,1193,349.02286902286903,75.97713097713097,True,True
23,AB Electrolux / Investor AB,Arthur Martin,Dryer,SKU-74256,,,,60,1183,347.7754677754678,,False,True
24,Montpellier Domestic Appliances Ltd,Montpellier,Stove,SKU-12414,,,,68,1188,359.6288209606987,,False,True
25,"Indesit Company, Whirlpool Corporation",Scholtès,Toaster,SKU-43533,,,,49,1204,355.70175438596493,,False,True
26,Candy Group,Otsein Hoover,Dryer,SKU-52425,,,,70,1183,347.7754677754678,,False,True
27,AB Electrolux / Investor AB,REX-Electrolux,Toaster,SKU-20315,425.0,W,low,75,1204,355.70175438596493,69.29824561403507,True,True
28,BSH Hausgeräte GmbH / Robert Bosch GmbH,Balay,Kettle,SKU-86027,325.0,W,low,52,1193,349.02286902286903,-24.02286902286903,True,True
29,AB Electrolux / Investor AB,REX-Electrolux,Toaster,SKU-19465,500.0,W,low,75,1204,355.70175438596493,144.29824561403507,True,True
30,AB Electrolux / Investor AB,Tappan,Dryer,SKU-45203,400.0,W,low,70,1183,347.7754677754678,52.2245322245322,True,True
31,Fnac,ProLine,Dryer,SKU77417,325.0,W,low,51,1183,347.7754677754678,-22.775467775467803,True,True
32,"Indesit Company, Whirlpool Corporation",Hotpoint-Ariston,Washer,SKU-31643,475.0,W,low,75,1176,347.4403470715835,127.55965292841648,True,True
33,Mondragon Corporation,Brandt,Dish Washer,SKU-12072,475.0,W,low,60,1223,350.4077253218884,124.59227467811161,True,True
34,Arçelik A.Ş. / Koç Holding,Grundig,Washer,SKU-76328,,,,57,1176,347.4403470715835,,False,True
35,Dayou Winia / Dayou Group,PRAUD,Freezer,SKU-24975,,,,65,1228,351.4947368421053,,False,True
36,Candy Group,Candy,Freezer,SKU-66793,400.0,W,low,60,1228,351.4947368421053,48.50526315789472,True,True
37,Whirlpool Corporation,Admiral,Refrigerator,SKU-95879,400.0,W,low,77,1145,353.9111111111111,46.0888888888889,True,True
38,Meneghetti S.p.A,Fulgor Milano,Toaster,SKU-32047,,,,65,1204,355.70175438596493,,False,True
39,Asko Appliances AB / Gorenje,Asko,Refrigerator,SKU-17550,300.0,W,low,63,1145,353.9111111111111,-53.9111111111111,True,True
40,GlenDimplex,Valor,Dryer,SKU-39704,,,,64,1183,347.7754677754678,,False,True
41,Dayou Winia / Dayou Group,PRAUD,Stove,SKU-36328,,,,65,1188,359.6288209606987,,False,True
42,"Indesit Company, Whirlpool Corporation",Hotpoint-Ariston,Stove,SKU-25060,250.0,W,low,75,1188,359.6288209606987,-109.6288209606987,True,True
43,AB Electrolux / Investor AB,White-Westinghouse,Freezer,SKU-20548,,,,65,1228,351.4947368421053,,False,True
