family_id,country,doc_number,kind,title,abstract,publication_date
100310502,DE,102025100982,A1,Haushaltsgerätesystem mit einem Haushaltsgerät und mit einem aktiven Zubehörteil,"Die Erfindung betrifft ein Haushaltsgerätesystem (1, 2) mit einem Haushaltsgerät (1) und mit wenigstens einem aktiven Zubehörteil (2), welches, vorzugsweise abnehmbar, mit dem Haushaltsgerät (1) verbunden ist, wobei eine Spannungsversorgungsschnittstelle (13a) das Haushaltsgerät (1) und das aktive Zubehörteil (2) elektrisch leitfähig miteinander verbindet, wobei das Haushaltsgerät (1) eine Steuerungseinheit (14) aufweist, welche ausgebildet ist,• pulsweitenmodulierte Signale mit wenigstens zwei unterschiedlichen Wiederholfrequenzen (T1, T2) zu erzeugen, um das aktive Zubehörteil (2) über die Spannungsversorgungsschnittstelle (13a) elektrisch zu versorgen,wobei das aktive Zubehörteil (2) eine Steuerungseinheit (23) aufweist, welche ausgebildet ist,• die pulsweitenmodulierten Signale von der Steuerungseinheit (14) des Haushaltsgeräts (1) über die Spannungsversorgungsschnittstelle (13a) zu erhalten,• die wenigstens zwei unterschiedlichen Wiederholfrequenzen (T1, T2) der pulsweitenmodulierten Signale zu erkennen und• eine erste aktive Komponente (22) des aktiven Zubehörteils (2) in Abhängigkeit der erkannten unterschiedlichen Wiederholfrequenzen (T1, T2) unterschiedlich zu betreiben.",20260716
100310554,DE,102025100779,A1,"Verwenden, Brühkapsel und Siebträgermaschine","Gemäß verschiedenen Ausführungsformen erfolgt ein Verwenden einer Siebträgermaschine zum Aufbrühen eines von Kaffee verschiedenen Brühguts, das in einem Siebträger der Siebträgermaschine aufgenommen ist.",20260716
98059662,DE,102025101255,A1,Wandnuterzeugungsvorrichtung zum Erzeugen von Nuten in einer Wand,"Es wird eine Wandnuterzeugungsvorrichtung (1) zum Erzeugen von Nuten oder Schlitzen in einer Wand oder Mauer aus Stein oder steinähnlichen Werkstoffen mit wenigstens einer ersten Schneidkante (3) und mit einem in eine Längsachse (5) ausgerichteten Schaft (2), vorgeschlagen, wobei gegenüber dem Stand der Technik eine verbesserte bzw. effizientere Betriebsweise verwirklicht wird, wobei insbesondere die Erzeugung von Nuten oder Schlitzen in einer Wand bzw. Boden, Decke oder Mauer aus Stein oder steinähnlichen Werkstoffen weniger aufwändig ist, sowohl zeitlich als auch bzgl. der körperlichen Belastung sowie der (kostenintensiven) Bevorratung unterschiedlichster Werkzeuge. Dies wird erfindungsgemäß dadurch erreicht, dass zusätzlich eine zweite Schneidkante (4) vorgesehen ist und dass die erste Schneidkante (3) und die zweite Schneidkante (4) jeweils quer in Bezug auf die Längsachse (5) ausgerichtet sind, wobei quer zu einer Schneidkantenrichtung der ersten Schneidkante (3) und der zweiten Schneidkante (4) ein Abstand (6) zwischen der ersten Schneidkante (3) und der zweiten Schneidkante (4) vorgesehen ist.",20260716
100310743,DE,102026101241,A1,HOCHLEISTUNGSVERBINDER,"Ein Hochleistungsverbinder umfasst eine Buchsenanordnung mit einer Mehrzahl von buchsenseitigen Stromanschlüssen zum Bilden mehrerer Kontakte und mit einer Mehrzahl von buchsenseitigen Signalanschlüssen, wobei die Mehrzahl der buchsenseitigen Stromanschlüsse parallel angeordnet ist, sowie eine Flachsteckeranordnung mit einer Mehrzahl von flachsteckerseitigen Stromanschlüssen, die der Mehrzahl der buchsenseitigen Stromanschlüsse entspricht, und mit einer Mehrzahl von flachsteckerseitigen Signalanschlüssen, die der Mehrzahl der buchsenseitigen Signalanschlüsse entspricht.",20260716
98569150,DE,102025101061,A1,Brühvorrichtung für einen Getränkebereiter und Getränkebereiter mit solch einer Brühvorrichtung,"Die Erfindung betrifft eine Brühvorrichtung (10) für einen Getränkebereiter, umfassend eine Mehrzahl an jeweils ortsverschiedenen Prozessstationen (30, 40, 50) und einen volumenveränderbaren Transferbehälter (20), der in eine obere und in eine untere Extremstellung verstellbar ist und der relativ zu den Prozessstation (30, 40, 50) bewegbar ist, wobei der Transferbehälter (20) an einer ersten und/oder einer zweiten Prozessstation (30, 40) mit einem Extraktionspulver (34) befüllbar ist, an der ersten und/oder der zweiten Prozessstation (30, 40) mit einem Fluid befüllbar ist und wobei an der zweiten und/oder einer dritten Prozessstation (40, 50) eine Auswurfeinrichtung (52) zur Entfernung des gebrauchten Extraktionspulvers (34) angeordnet ist.Weiter betrifft die Erfindung einen Getränkebereiter mit solch einer Brühvorrichtung (10).",20260716
94238504,EP,4775107,A1,"OUTLET UNIT, CYCLONIC SEPARATOR AND VACUUM CLEANER","Provided is an outlet unit (50) for a cyclonic separator (18) of a vacuum cleaner. The outlet unit includes a hollow body (52), which hollow body has an interior surface (54) delimiting an air outlet conduit (56), and a first exterior surface (58). An air outlet (60) is defined in the hollow body to permit an airflow to enter the air outlet conduit. The first exterior surface is configured to permit the airflow to rotate around a first perimeter of the first exterior surface as the airflow flows along the hollow body towards the air outlet. The outlet unit also includes an extension portion (62) extending from the hollow body. The extension portion has a second exterior surface (64), with at least one helical rib (74) protruding from the second exterior surface. Further provided is a cyclonic separator including the outlet unit, and a vacuum cleaner including the cyclonic separator.",20260715
94278493,EP,4775759,A1,PLINTH AND BUILDING TRANSITION THEREWITH,"[0001]    Eine erfindungsgemäße Sockelleiste (8) zur Anordnung an einem Gebäude-Übergang (2) zwischen einem unteren Wandende einer Gebäudewand (4) und einem angrenzenden Fußbodenbereich (6), umfasst - in einer ersten Variante - einen Grundkörper (10), insbesondere mit einem viereckigen Querschnitt, zum Beispiel einem im Wesentlichen rechteckigen oder im Wesentlichen Parallelogramm-förmigen Querschnitt, mit einer Vorderseite (16), mit einer Rückseite (18), mit einer Oberseite (20) und mit einer Unterseite (22), oder einen Grundkörper (10), insbesondere mit einem dreieckigen Querschnitt mit einer Vorderseite, mit einer Rückseite und mit einer Unterseite; und eine obere Wegrag-Lippe (12) an der Oberseite (20) des Grundkörpers (10), insbesondere an dem vorderen oder hinteren Ende der Oberseite (20) des Grundkörpers (10). Die obere Wegrag-Lippe (12) ist wenigstens teilweise aus einem transluzenten oder transparenten Material. Ein oberer Aufnahmeraum (24) ist an oder in der Rückseite (18) des Grundkörpers (10) angeordnet, in dem wenigstens ein Lichtelement (28), insbesondere eine LED so angebracht und ausgebildet ist, dass Licht nach hinten oder schräg nach hinten und oben emittiert wird. Der oberhalb des oberen Aufnahmeraums (24) gelegene Abschnitt der Rückseite (18) des Grundkörpers (10) ist so ausgebildet, dass ein Licht-Durchgangsbereich zu der oberen Wegrag-Lippe (12) für von dem Lichtelement (28) emittierten Licht vorhanden ist, sodass im eingebauten Zustand der Sockelleiste (8) von dem Lichtelement (28) emittiertes Licht von der Wand (4) reflektiert wird, und von unten oder schräg von unten und hinten auf die obere Wegrag-Lippe (12) auftrifft, sodass diese illuminiert wird.",20260715
95474614,EP,4775709,A2,FINISHING PART HAVING A SEMI-TRANSPARENT METALLIC DECORATIVE COATING,"L'invention concerne une pièce de finition (10), comprenant un substrat (11) transparent ou semi-transparent en matière plastique et un revêtement décoratif (12) semi-transparent appliqué sur tout ou partie du substrat (11), le revêtement décoratif (12) semi-transparent comprenant une couche métallique réfléchissante (14) semi-transparente composée de chrome, de cuivre ou d'aluminium, ainsi qu'une couche interférentielle (15) transparente ou semi-transparente composée de silicium élémentaire, superposée sur la couche métallique réfléchissante (14), chacune de la couche métallique réfléchissante (14) et la couche interférentielle (15) présentant une épaisseur prédéterminée pour conférer ensemble à la pièce de finition (10) une couleur interférentielle en réflexion prédéterminée ainsi qu'une transmission lumineuse prédéterminée.",20260715
100485936,US,D1133689,S,Espresso machine,,20260714
100485975,US,D1133704,S,Air fryer,,20260714
